vm_policy;link_policy;wf_policy;# units: timestamp; flowId; violationType
LFF;BLA;Priority;90;7;SLA_VIOLATION
LFF;BLA;Priority;90;7;SLA_VIOLATION
LFF;BLA;Priority;90;22;SLA_VIOLATION
LFF;BLA;Priority;90;22;SLA_VIOLATION
LFF;BLA;Priority;90;22;SLA_VIOLATION
LFF;BLA;Priority;90;22;SLA_VIOLATION
LFF;BLA;Priority;90;22;SLA_VIOLATION
LFF;BLA;Priority;90;22;SLA_VIOLATION
LFF;BLA;Priority;100;38;SLA_VIOLATION
LFF;BLA;Priority;100;38;SLA_VIOLATION
LFF;BLA;Priority;100;38;SLA_VIOLATION
LFF;BLA;Priority;100;38;SLA_VIOLATION
LFF;BLA;Priority;100;38;SLA_VIOLATION
LFF;BLA;Priority;100;38;SLA_VIOLATION
LFF;BLA;Priority;100;23;SLA_VIOLATION
LFF;BLA;Priority;100;23;SLA_VIOLATION
LFF;BLA;Priority;100;29;SLA_VIOLATION
LFF;BLA;Priority;100;29;SLA_VIOLATION
LFF;BLA;Priority;100;29;SLA_VIOLATION
LFF;BLA;Priority;100;29;SLA_VIOLATION
LFF;BLA;Priority;100;29;SLA_VIOLATION
LFF;BLA;Priority;100;29;SLA_VIOLATION
LFF;BLA;Priority;100;36;SLA_VIOLATION
LFF;BLA;Priority;100;36;SLA_VIOLATION
LFF;BLA;Priority;100;36;SLA_VIOLATION
LFF;BLA;Priority;100;36;SLA_VIOLATION
LFF;BLA;Priority;110;21;SLA_VIOLATION
LFF;BLA;Priority;110;21;SLA_VIOLATION
LFF;BLA;Priority;110;21;SLA_VIOLATION
LFF;BLA;Priority;110;21;SLA_VIOLATION
LFF;BLA;Priority;110;31;SLA_VIOLATION
LFF;BLA;Priority;110;31;SLA_VIOLATION
LFF;BLA;Priority;110;31;SLA_VIOLATION
LFF;BLA;Priority;110;31;SLA_VIOLATION
LFF;BLA;Priority;120;38;SLA_VIOLATION
LFF;BLA;Priority;120;38;SLA_VIOLATION
LFF;BLA;Priority;120;38;SLA_VIOLATION
LFF;BLA;Priority;120;38;SLA_VIOLATION
LFF;BLA;Priority;120;22;SLA_VIOLATION
LFF;BLA;Priority;120;22;SLA_VIOLATION
LFF;BLA;Priority;120;22;SLA_VIOLATION
LFF;BLA;Priority;120;22;SLA_VIOLATION
LFF;BLA;Priority;120;39;SLA_VIOLATION
LFF;BLA;Priority;120;39;SLA_VIOLATION
LFF;BLA;Priority;130;29;SLA_VIOLATION
LFF;BLA;Priority;130;29;SLA_VIOLATION
