time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
80;0;6.25;12.5;20.0;2.6706;LWFF;BLA;Priority
90;3;6.25;12.5;20.0;3.0045;LWFF;BLA;Priority
90;2;12.5;25.0;20.0;3.0084;LWFF;BLA;Priority
90;1;3.125;12.5;20.0;3.0033;LWFF;BLA;Priority
90;0;6.25;12.5;20.0;3.0045;LWFF;BLA;Priority
100;3;6.25;12.5;20.0;3.3383;LWFF;BLA;Priority
100;2;12.5;25.0;20.0;3.3427;LWFF;BLA;Priority
100;1;3.125;12.5;20.0;3.337;LWFF;BLA;Priority
100;0;6.25;12.5;20.0;3.3383;LWFF;BLA;Priority
110;3;6.25;12.5;20.0;3.6721;LWFF;BLA;Priority
110;2;12.5;25.0;20.0;3.677;LWFF;BLA;Priority
110;1;3.125;12.5;20.0;3.6707;LWFF;BLA;Priority
110;0;6.25;12.5;20.0;3.6721;LWFF;BLA;Priority
120;3;6.25;12.5;20.0;4.006;LWFF;BLA;Priority
120;2;12.5;25.0;20.0;4.0113;LWFF;BLA;Priority
120;1;3.125;12.5;20.0;4.0044;LWFF;BLA;Priority
120;0;6.25;12.5;20.0;4.006;LWFF;BLA;Priority
130;3;6.25;12.5;20.0;4.3398;LWFF;BLA;Priority
130;2;12.5;25.0;20.0;4.3455;LWFF;BLA;Priority
130;1;3.125;12.5;20.0;4.3381;LWFF;BLA;Priority
130;0;6.25;12.5;20.0;4.3398;LWFF;BLA;Priority
140;3;6.25;12.5;20.0;4.6736;LWFF;BLA;Priority
140;2;12.5;25.0;20.0;4.6798;LWFF;BLA;Priority
140;1;3.125;12.5;20.0;4.6717;LWFF;BLA;Priority
140;0;6.25;12.5;20.0;4.6736;LWFF;BLA;Priority
150;3;6.25;12.5;20.0;4.6736;LWFF;BLA;Priority
150;2;12.5;25.0;20.0;4.6798;LWFF;BLA;Priority
150;1;3.125;12.5;20.0;4.6717;LWFF;BLA;Priority
150;0;6.25;12.5;20.0;4.6736;LWFF;BLA;Priority
160;3;6.25;12.5;20.0;4.6736;LWFF;BLA;Priority
160;2;12.5;25.0;20.0;4.6798;LWFF;BLA;Priority
160;1;3.125;12.5;20.0;4.6717;LWFF;BLA;Priority
160;0;6.25;12.5;20.0;4.6736;LWFF;BLA;Priority
10;3;6.25;12.5;20.0;0.3338;LWFF;BLA;PSO
10;2;12.5;25.0;20.0;0.3343;LWFF;BLA;PSO
10;1;3.125;12.5;20.0;0.3337;LWFF;BLA;PSO
10;0;6.25;12.5;20.0;0.3338;LWFF;BLA;PSO
20;3;6.25;12.5;20.0;0.6677;LWFF;BLA;PSO
20;2;12.5;25.0;20.0;0.6685;LWFF;BLA;PSO
20;1;3.125;12.5;20.0;0.6674;LWFF;BLA;PSO
20;0;6.25;12.5;20.0;0.6677;LWFF;BLA;PSO
30;3;6.25;12.5;20.0;1.0015;LWFF;BLA;PSO
30;2;12.5;25.0;20.0;1.0028;LWFF;BLA;PSO
30;1;3.125;12.5;20.0;1.0011;LWFF;BLA;PSO
30;0;6.25;12.5;20.0;1.0015;LWFF;BLA;PSO
40;3;6.25;12.5;20.0;1.3353;LWFF;BLA;PSO
40;2;12.5;25.0;20.0;1.3371;LWFF;BLA;PSO
40;1;3.125;12.5;20.0;1.3348;LWFF;BLA;PSO
40;0;6.25;12.5;20.0;1.3353;LWFF;BLA;PSO
50;3;6.25;12.5;20.0;1.6691;LWFF;BLA;PSO
50;2;12.5;25.0;20.0;1.6714;LWFF;BLA;PSO
50;1;3.125;12.5;20.0;1.6685;LWFF;BLA;PSO
50;0;6.25;12.5;20.0;1.6691;LWFF;BLA;PSO
