vm_policy;link_policy;wf_policy;# units: time(s); hostId; energy(Wh)
LWFF;First;PSO;30;2;0.0704
LWFF;First;PSO;30;1;0.0698
LWFF;First;PSO;30;0;0.0699
LWFF;First;PSO;40;3;0.0699
LWFF;First;PSO;40;2;0.0704
LWFF;First;PSO;40;1;0.0698
LWFF;First;PSO;40;0;0.0699
LWFF;First;PSO;50;3;0.0699
LWFF;First;PSO;50;2;0.0704
LWFF;First;PSO;50;1;0.0698
LWFF;First;PSO;50;0;0.0699
LWFF;First;PSO;60;3;0.0699
LWFF;First;PSO;60;2;0.0704
LWFF;First;PSO;60;1;0.0698
LWFF;First;PSO;60;0;0.0699
LWFF;First;PSO;70;3;0.0699
LWFF;First;PSO;70;2;0.0704
LWFF;First;PSO;70;1;0.0698
LWFF;First;PSO;70;0;0.0699
LWFF;First;PSO;80;3;0.0699
LWFF;First;PSO;80;2;0.0704
LWFF;First;PSO;80;1;0.0698
LWFF;First;PSO;80;0;0.0699
LWFF;First;PSO;90;3;0.0699
LWFF;First;PSO;90;2;0.0704
LWFF;First;PSO;90;1;0.0698
LWFF;First;PSO;90;0;0.0699
LWFF;First;PSO;100;3;0.0699
LWFF;First;PSO;100;2;0.0704
LWFF;First;PSO;100;1;0.0698
LWFF;First;PSO;100;0;0.0699
LWFF;First;PSO;110;3;0.0699
LWFF;First;PSO;110;2;0.0704
LWFF;First;PSO;110;1;0.0698
LWFF;First;PSO;110;0;0.0699
LWFF;First;PSO;120;3;0.0699
LWFF;First;PSO;120;2;0.0704
LWFF;First;PSO;120;1;0.0698
LWFF;First;PSO;120;0;0.0699
LWFF;First;PSO;130;3;0.0699
LWFF;First;PSO;130;2;0.0704
LWFF;First;PSO;130;1;0.0698
LWFF;First;PSO;130;0;0.0699
LWFF;First;PSO;140;3;0.0699
LWFF;First;PSO;140;2;0.0704
LWFF;First;PSO;140;1;0.0698
LWFF;First;PSO;140;0;0.0699
LWFF;First;SJF;10;3;0.0704
LWFF;First;SJF;10;2;0.0716
LWFF;First;SJF;10;1;0.0717
LWFF;First;SJF;10;0;0.0702
LWFF;First;SJF;20;3;0.0704
LWFF;First;SJF;20;2;0.0721
LWFF;First;SJF;20;1;0.0723
LWFF;First;SJF;20;0;0.0703
LWFF;First;SJF;30;3;0.0703
