time;src;dst;path;min_bw_mbps;avg_bw_used;avg_pct_use;network_latency_ms;proc_delay_ms;total_delay_ms;selected;vm_policy;link_policy;wf_policy;dataset
30;h_3;h_2;h_3->edge1->h_2;10000.0;594.0;5.94;144.1;4805.8999;4950.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_2;h_0->edge0->agg0->edge1->h_2;10.0;865.8;4917.74;144004.1005;0.0;3510.0;True;LFF;BLA;Priority;dataset-LargeVF
30;h_0;h_2;h_0->edge0->agg0->edge1->h_2;10.0;865.8;4917.74;10804.1005;0.0;2789.9993;True;LFF;BLA;Priority;dataset-LargeVF
30;h_10;h_2;h_10->edge5->agg2->core0->agg0->edge1->h_2;10.0;670.2;1604.46;21604.1266;0.0;1289.9993;True;LFF;BLA;Priority;dataset-LargeVF
30;h_10;h_2;h_10->edge5->agg2->core0->agg0->edge1->h_2;10.0;670.2;1604.46;36004.1266;0.0;749.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_14;h_2;h_14->edge7->agg3->core0->agg0->edge1->h_2;10.0;676.2;1832.48;216004.1282;0.0;619.9997;True;LFF;BLA;Priority;dataset-LargeVF
30;h_1;h_1;h_1->(LOCAL)->h_1;10000.0;0.0;0.0;0.0;8749.9993;8749.9993;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_2;h_1->edge0->agg0->edge1->h_2;10.0;1669.5;9286.42;7204.1005;2205.8994;9410.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_12;h_2;h_12->edge6->agg3->core0->agg0->edge1->h_2;10.0;843.0;2432.95;54004.1281;0.0;8979.9993;True;LFF;BLA;Priority;dataset-LargeVF
40;h_9;h_4;h_9->edge4->agg2->core0->agg1->edge2->h_4;10.0;336.6;1224.96;216004.1266;0.0;1600.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_2;h_13;h_2->edge1->agg0->core0->agg3->edge6->h_13;10.0;518.4;1153.54;14404.1281;0.0;6960.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_2;h_13;h_2->edge1->agg0->core0->agg3->edge6->h_13;10.0;518.4;1153.54;3604.1281;775.8715;4379.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_0;h_9;h_0->edge0->agg0->core1->agg2->edge4->h_9;10.0;1141.8;5140.17;54004.1266;0.0;2339.9993;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_14;h_1->edge0->agg0->core0->agg3->edge7->h_14;10.0;1257.0;5141.8;36004.1282;0.0;7569.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_14;h_1->edge0->agg0->core0->agg3->edge7->h_14;10.0;1257.0;5141.8;54004.1282;0.0;5209.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_6;h_1;h_6->edge3->agg1->core0->agg0->edge0->h_1;10.0;786.0;2007.86;54004.1255;0.0;1369.9999;True;LFF;BLA;Priority;dataset-LargeVF
40;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;10.0;556.2;1981.58;216004.1254;0.0;8680.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_0;h_1->edge0->h_0;10000.0;1197.0;11.97;108.1;7301.8992;7409.9993;True;LFF;BLA;Priority;dataset-LargeVF
40;h_5;h_0;h_5->edge2->agg1->core0->agg0->edge0->h_0;10.0;556.2;1981.58;216004.1254;0.0;4819.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_9;h_1;h_9->edge4->agg2->core0->agg0->edge0->h_1;10.0;807.0;2067.95;54004.1266;0.0;6210.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_5;h_1;h_5->edge2->agg1->core0->agg0->edge0->h_1;10.0;777.6;1983.8;10804.1254;0.0;3519.9993;True;LFF;BLA;Priority;dataset-LargeVF
40;h_9;h_1;h_9->edge4->agg2->core0->agg0->edge0->h_1;10.0;807.0;2067.95;72004.1266;0.0;2960.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;1150.8;4864.53;14404.1266;0.0;9209.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;1150.8;4864.53;216004.1266;0.0;8130.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_3;h_10;h_3->edge1->agg0->core1->agg2->edge5->h_10;10.0;548.4;1250.12;72004.1266;0.0;7809.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_17;h_10;h_17->edge8->agg5->core0->agg2->edge5->h_10;10.0;194.4;714.82;21604.1293;0.0;7310.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_4;h_10;h_4->edge2->agg1->core0->agg2->edge5->h_10;10.0;219.0;894.79;216004.1266;0.0;6639.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;1150.8;4864.53;10804.1266;0.0;5590.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_10;h_1->edge0->agg0->core1->agg2->edge5->h_10;10.0;1150.8;4864.53;216004.1266;0.0;3819.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_2;h_10;h_2->edge1->agg0->core1->agg2->edge5->h_10;10.0;480.6;1249.44;144004.1266;0.0;429.9999;True;LFF;BLA;Priority;dataset-LargeVF
40;h_10;h_10;h_10->(LOCAL)->h_10;10000.0;0.0;0.0;0.0;299.9996;299.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_9;h_1;h_9->edge4->agg2->core0->agg0->edge0->h_1;10.0;807.0;2067.95;3604.1266;0.0;3299.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_0;h_1;h_0->edge0->h_1;10000.0;1641.6;16.42;108.1;4901.8992;5009.9993;True;LFF;BLA;Priority;dataset-LargeVF
40;h_0;h_1;h_0->edge0->h_1;10000.0;1641.6;16.42;144.1;4455.8996;4599.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_6;h_1;h_6->edge3->agg1->core0->agg0->edge0->h_1;10.0;786.0;2007.86;3604.1255;4315.8744;7920.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_19;h_1;h_19->edge9->agg6->edge0->h_1;10.0;658.8;1086.59;10804.1018;0.0;5430.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_6;h_1;h_6->edge3->agg1->core0->agg0->edge0->h_1;10.0;786.0;2007.86;144004.1255;0.0;4159.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_1;h_1->(LOCAL)->h_1;10000.0;0.0;0.0;0.0;2650.0;2650.0;True;LFF;BLA;Priority;dataset-LargeVF
40;h_13;h_1;h_13->edge6->agg3->core0->agg0->edge0->h_1;10.0;940.8;2194.17;10804.1281;0.0;9869.9996;True;LFF;BLA;Priority;dataset-LargeVF
40;h_1;h_1;h_1->(LOCAL)->h_1;10000.0;0.0;0.0;0.0;5719.9993;5719.9993;True;LFF;BLA;Priority;dataset-LargeVF
