# units: time(s); hostId; cpu(%); ram(%); bw(%); energy(Wh)
470;4;3.1250;6.2500;5.0000;15.3482
470;3;0.7813;3.1250;4.0000;15.3414
470;2;1.5625;6.2500;6.0000;15.3452
470;1;0.7813;3.1250;2.0000;15.3412
470;0;0.7813;3.1250;2.5000;15.3412
480;5;6.2500;12.5000;10.0000;15.6927
480;4;3.1250;6.2500;5.0000;15.6817
480;3;0.7813;3.1250;4.0000;15.6748
480;2;1.5625;6.2500;6.0000;15.6787
480;1;0.7813;3.1250;2.0000;15.6746
480;0;0.7813;3.1250;2.5000;15.6746
490;5;6.2500;12.5000;10.0000;16.0265
490;4;3.1250;6.2500;5.0000;16.0153
490;3;0.7813;3.1250;4.0000;16.0083
490;2;1.5625;6.2500;6.0000;16.0122
490;1;0.7813;3.1250;2.0000;16.0080
490;0;0.7813;3.1250;2.5000;16.0081
500;5;6.2500;12.5000;10.0000;16.3603
500;4;3.1250;6.2500;5.0000;16.3489
500;3;0.7813;3.1250;4.0000;16.3417
500;2;1.5625;6.2500;6.0000;16.3457
500;1;0.7813;3.1250;2.0000;16.3414
500;0;0.7813;3.1250;2.5000;16.3415
510;5;6.2500;12.5000;10.0000;16.6941
510;4;3.1250;6.2500;5.0000;16.6824
510;3;0.7813;3.1250;4.0000;16.6751
510;2;1.5625;6.2500;6.0000;16.6792
510;1;0.7813;3.1250;2.0000;16.6748
510;0;0.7813;3.1250;2.5000;16.6749
520;5;6.2500;12.5000;10.0000;17.0279
520;4;3.1250;6.2500;5.0000;17.0160
520;3;0.7813;3.1250;4.0000;17.0085
520;2;1.5625;6.2500;6.0000;17.0127
520;1;0.7813;3.1250;2.0000;17.0082
520;0;0.7813;3.1250;2.5000;17.0083
530;5;6.2500;12.5000;10.0000;17.3617
530;4;3.1250;6.2500;5.0000;17.3496
530;3;0.7813;3.1250;4.0000;17.3419
530;2;1.5625;6.2500;6.0000;17.3462
530;1;0.7813;3.1250;2.0000;17.3417
530;0;0.7813;3.1250;2.5000;17.3417
540;5;6.2500;12.5000;10.0000;17.6955
540;4;3.1250;6.2500;5.0000;17.6831
540;3;0.7813;3.1250;4.0000;17.6754
540;2;1.5625;6.2500;6.0000;17.6797
540;1;0.7813;3.1250;2.0000;17.6751
540;0;0.7813;3.1250;2.5000;17.6751
550;5;6.2500;12.5000;10.0000;18.0294
550;4;3.1250;6.2500;5.0000;18.0167
550;3;0.7813;3.1250;4.0000;18.0088
550;2;1.5625;6.2500;6.0000;18.0132
550;1;0.7813;3.1250;2.0000;18.0085
550;0;0.7813;3.1250;2.5000;18.0086
560;5;6.2500;12.5000;10.0000;18.3632
560;4;3.1250;6.2500;5.0000;18.3503
560;3;0.7813;3.1250;4.0000;18.3422
560;2;1.5625;6.2500;6.0000;18.3467
560;1;0.7813;3.1250;2.0000;18.3419
560;0;0.7813;3.1250;2.5000;18.3420
570;5;6.2500;12.5000;10.0000;18.6970
570;4;3.1250;6.2500;5.0000;18.6838
570;3;0.7813;3.1250;4.0000;18.6756
570;2;1.5625;6.2500;6.0000;18.6802
570;1;0.7813;3.1250;2.0000;18.6753
570;0;0.7813;3.1250;2.5000;18.6754
580;5;6.2500;12.5000;10.0000;19.0308
580;4;3.1250;6.2500;5.0000;19.0174
580;3;0.7813;3.1250;4.0000;19.0090
580;2;1.5625;6.2500;6.0000;19.0137
580;1;0.7813;3.1250;2.0000;19.0087
580;0;0.7813;3.1250;2.5000;19.0088
590;5;6.2500;12.5000;10.0000;19.3646
590;4;3.1250;6.2500;5.0000;19.3510
590;3;0.7813;3.1250;4.0000;19.3425
590;2;1.5625;6.2500;6.0000;19.3472
590;1;0.7813;3.1250;2.0000;19.3421
590;0;0.7813;3.1250;2.5000;19.3422
600;5;6.2500;12.5000;10.0000;19.6984
600;4;3.1250;6.2500;5.0000;19.6845
600;3;0.7813;3.1250;4.0000;19.6759
600;2;1.5625;6.2500;6.0000;19.6808
600;1;0.7813;3.1250;2.0000;19.6756
600;0;0.7813;3.1250;2.5000;19.6756
610;5;6.2500;12.5000;10.0000;20.0322
610;4;3.1250;6.2500;5.0000;20.0181
610;3;0.7813;3.1250;4.0000;20.0093
610;2;1.5625;6.2500;6.0000;20.0143
610;1;0.7813;3.1250;2.0000;20.0090
610;0;0.7813;3.1250;2.5000;20.0091
620;5;6.2500;12.5000;10.0000;20.3660
620;4;3.1250;6.2500;5.0000;20.3517
620;3;0.7813;3.1250;4.0000;20.3427
620;2;1.5625;6.2500;6.0000;20.3478
620;1;0.7813;3.1250;2.0000;20.3424
620;0;0.7813;3.1250;2.5000;20.3425
630;5;6.2500;12.5000;10.0000;20.6998
630;4;3.1250;6.2500;5.0000;20.6852
630;3;0.7813;3.1250;4.0000;20.6762
630;2;1.5625;6.2500;6.0000;20.6813
630;1;0.7813;3.1250;2.0000;20.6758
630;0;0.7813;3.1250;2.5000;20.6759
640;5;6.2500;12.5000;10.0000;21.0336
640;4;3.1250;6.2500;5.0000;21.0188
640;3;0.7813;3.1250;4.0000;21.0096
640;2;1.5625;6.2500;6.0000;21.0148
640;1;0.7813;3.1250;2.0000;21.0092
640;0;0.7813;3.1250;2.5000;21.0093
650;5;6.2500;12.5000;10.0000;21.3674
650;4;3.1250;6.2500;5.0000;21.3524
650;3;0.7813;3.1250;4.0000;21.3430
650;2;1.5625;6.2500;6.0000;21.3483
650;1;0.7813;3.1250;2.0000;21.3426
650;0;0.7813;3.1250;2.5000;21.3427
660;5;6.2500;12.5000;10.0000;21.7012
660;4;3.1250;6.2500;5.0000;21.6859
660;3;0.7813;3.1250;4.0000;21.6764
660;2;1.5625;6.2500;6.0000;21.6818
660;1;0.7813;3.1250;2.0000;21.6761
660;0;0.7813;3.1250;2.5000;21.6761
670;5;6.2500;12.5000;10.0000;22.0350
670;4;3.1250;6.2500;5.0000;22.0195
670;3;0.7813;3.1250;4.0000;22.0098
670;2;1.5625;6.2500;6.0000;22.0153
670;1;0.7813;3.1250;2.0000;22.0095
670;0;0.7813;3.1250;2.5000;22.0096
680;5;6.2500;12.5000;10.0000;22.3688
680;4;3.1250;6.2500;5.0000;22.3531
680;3;0.7813;3.1250;4.0000;22.3433
680;2;1.5625;6.2500;6.0000;22.3488
680;1;0.7813;3.1250;2.0000;22.3429
680;0;0.7813;3.1250;2.5000;22.3430
690;5;6.2500;12.5000;10.0000;22.7026
690;4;3.1250;6.2500;5.0000;22.6866
690;3;0.7813;3.1250;4.0000;22.6767
690;2;1.5625;6.2500;6.0000;22.6823
690;1;0.7813;3.1250;2.0000;22.6763
690;0;0.7813;3.1250;2.5000;22.6764
700;5;6.2500;12.5000;10.0000;23.0364
700;4;3.1250;6.2500;5.0000;23.0202
700;3;0.7813;3.1250;4.0000;23.0101
700;2;1.5625;6.2500;6.0000;23.0158
700;1;0.7813;3.1250;2.0000;23.0097
700;0;0.7813;3.1250;2.5000;23.0098
710;5;6.2500;12.5000;10.0000;23.3702
710;4;3.1250;6.2500;5.0000;23.3538
710;3;0.7813;3.1250;4.0000;23.3435
710;2;1.5625;6.2500;6.0000;23.3493
710;1;0.7813;3.1250;2.0000;23.3431
710;0;0.7813;3.1250;2.5000;23.3432
720;5;6.2500;12.5000;10.0000;23.7040
720;4;3.1250;6.2500;5.0000;23.6873
720;3;0.7813;3.1250;4.0000;23.6769
720;2;1.5625;6.2500;6.0000;23.6828
720;1;0.7813;3.1250;2.0000;23.6766
720;0;0.7813;3.1250;2.5000;23.6766
730;5;6.2500;12.5000;10.0000;24.0378
730;4;3.1250;6.2500;5.0000;24.0209
730;3;0.7813;3.1250;4.0000;24.0104
730;2;1.5625;6.2500;6.0000;24.0163
730;1;0.7813;3.1250;2.0000;24.0100
730;0;0.7813;3.1250;2.5000;24.0101
740;5;6.2500;12.5000;10.0000;24.3716
740;4;3.1250;6.2500;5.0000;24.3545
