# units: time(s); nodeId; cpu_w; ram_w; bw_w; total_w
180.00;10;1.56;6.25;5.00;0.3335
180.00;9;1.17;4.69;5.00;0.3335
180.00;8;6.25;12.50;10.00;0.3338
180.00;7;1.56;6.25;5.00;0.3335
180.00;6;1.95;4.69;4.00;0.3335
180.00;5;6.25;12.50;10.00;0.3338
180.00;4;0.78;3.13;4.00;0.3334
180.00;3;1.17;4.69;4.50;0.3335
180.00;2;1.56;6.25;4.00;0.3335
180.00;1;3.13;6.25;5.00;0.3336
180.00;0;1.95;4.69;4.50;0.3335
180.00;11;1.56;6.25;29.28;0.0700
180.00;10;1.56;6.25;17.12;0.0699
180.00;9;1.17;4.69;5.28;0.0697
180.00;8;6.25;12.50;29.44;0.0703
180.00;7;1.56;6.25;12.64;0.0698
180.00;6;1.95;4.69;5.40;0.0697
180.00;5;6.25;12.50;8.96;0.0701
180.00;4;0.78;3.13;9.60;0.0697
180.00;3;1.17;4.69;9.44;0.0697
180.00;2;1.56;6.25;7.36;0.0697
180.00;1;3.13;6.25;0.00;0.0697
180.00;0;1.95;4.69;3.36;0.0697
190.00;11;1.56;6.25;6.00;0.3335
190.00;10;1.56;6.25;5.00;0.3335
190.00;9;1.17;4.69;5.00;0.3335
190.00;8;6.25;12.50;10.00;0.3338
190.00;7;1.56;6.25;5.00;0.3335
190.00;6;1.95;4.69;4.00;0.3335
190.00;5;6.25;12.50;10.00;0.3338
190.00;4;0.78;3.13;4.00;0.3334
190.00;3;1.17;4.69;4.50;0.3335
190.00;2;1.56;6.25;4.00;0.3335
190.00;1;3.13;6.25;5.00;0.3336
190.00;0;1.95;4.69;4.50;0.3335
190.00;11;1.56;6.25;12.16;0.0698
190.00;10;1.56;6.25;3.92;0.0697
190.00;9;1.17;4.69;2.88;0.0696
190.00;8;6.25;12.50;7.20;0.0700
190.00;7;1.56;6.25;14.24;0.0698
190.00;6;1.95;4.69;3.76;0.0697
190.00;5;6.25;12.50;20.80;0.0702
190.00;4;0.78;3.13;1.60;0.0696
190.00;3;1.17;4.69;3.76;0.0696
190.00;2;1.56;6.25;1.12;0.0697
190.00;1;3.13;6.25;8.00;0.0698
190.00;0;1.95;4.69;0.12;0.0696
200.00;11;1.56;6.25;6.00;0.3335
200.00;10;1.56;6.25;5.00;0.3335
200.00;9;1.17;4.69;5.00;0.3335
200.00;8;6.25;12.50;10.00;0.3338
200.00;7;1.56;6.25;5.00;0.3335
200.00;6;1.95;4.69;4.00;0.3335
200.00;5;6.25;12.50;10.00;0.3338
200.00;4;0.78;3.13;4.00;0.3334
200.00;3;1.17;4.69;4.50;0.3335
200.00;2;1.56;6.25;4.00;0.3335
200.00;1;3.13;6.25;5.00;0.3336
200.00;0;1.95;4.69;4.50;0.3335
200.00;11;1.56;6.25;12.96;0.0698
200.00;10;1.56;6.25;16.08;0.0699
200.00;9;1.17;4.69;1.80;0.0696
200.00;8;6.25;12.50;33.44;0.0704
200.00;7;1.56;6.25;5.44;0.0697
200.00;6;1.95;4.69;5.56;0.0697
200.00;5;6.25;12.50;0.00;0.0699
200.00;4;0.78;3.13;0.00;0.0695
200.00;3;1.17;4.69;4.80;0.0697
200.00;2;1.56;6.25;11.20;0.0698
200.00;1;3.13;6.25;6.64;0.0698
200.00;0;1.95;4.69;6.24;0.0697
210.00;11;1.56;6.25;6.00;0.3335
210.00;10;1.56;6.25;5.00;0.3335
210.00;9;1.17;4.69;5.00;0.3335
210.00;8;6.25;12.50;10.00;0.3338
210.00;7;1.56;6.25;5.00;0.3335
210.00;6;1.95;4.69;4.00;0.3335
210.00;5;6.25;12.50;10.00;0.3338
210.00;4;0.78;3.13;4.00;0.3334
210.00;3;1.17;4.69;4.50;0.3335
210.00;2;1.56;6.25;4.00;0.3335
210.00;1;3.13;6.25;5.00;0.3336
210.00;0;1.95;4.69;4.50;0.3335
210.00;11;1.56;6.25;28.00;0.0700
210.00;10;1.56;6.25;6.56;0.0697
210.00;9;1.17;4.69;0.00;0.0696
210.00;8;6.25;12.50;8.00;0.0700
210.00;7;1.56;6.25;22.40;0.0699
210.00;6;1.95;4.69;3.00;0.0697
210.00;5;6.25;12.50;0.00;0.0699
210.00;4;0.78;3.13;0.00;0.0695
210.00;3;1.17;4.69;4.88;0.0697
210.00;2;1.56;6.25;25.60;0.0700
210.00;1;3.13;6.25;0.00;0.0697
210.00;0;1.95;4.69;0.00;0.0696
220.00;11;1.56;6.25;6.00;0.3335
220.00;10;1.56;6.25;5.00;0.3335
220.00;9;1.17;4.69;5.00;0.3335
220.00;8;6.25;12.50;10.00;0.3338
220.00;7;1.56;6.25;5.00;0.3335
220.00;6;1.95;4.69;4.00;0.3335
220.00;5;6.25;12.50;10.00;0.3338
220.00;4;0.78;3.13;4.00;0.3334
220.00;3;1.17;4.69;4.50;0.3335
