0;1;2;3;4;5;6;7;vm_policy;link_policy;wf_policy
timestamp;hostId;vmIds;cpu(%);ram(%);bw(%);policy;energy(W);LFF;BLA;Priority
420;h_0;2|0;0.7813;3.1250;2.5000;LFF;13.6728;LFF;BLA;Priority
430;h_5;4;6.2500;12.5000;10.0000;LFF;14.0224;LFF;BLA;Priority
430;h_4;5;3.1250;6.2500;5.0000;LFF;14.0125;LFF;BLA;Priority
430;h_3;6|7;0.7813;3.1250;4.0000;LFF;14.0064;LFF;BLA;Priority
430;h_2;3;1.5625;6.2500;6.0000;LFF;14.0098;LFF;BLA;Priority
430;h_1;1;0.7813;3.1250;2.0000;LFF;14.0062;LFF;BLA;Priority
430;h_0;2|0;0.7813;3.1250;2.5000;LFF;14.0062;LFF;BLA;Priority
440;h_5;4;6.2500;12.5000;10.0000;LFF;14.3562;LFF;BLA;Priority
440;h_4;5;3.1250;6.2500;5.0000;LFF;14.3461;LFF;BLA;Priority
440;h_3;6|7;0.7813;3.1250;4.0000;LFF;14.3398;LFF;BLA;Priority
440;h_2;3;1.5625;6.2500;6.0000;LFF;14.3433;LFF;BLA;Priority
440;h_1;1;0.7813;3.1250;2.0000;LFF;14.3396;LFF;BLA;Priority
440;h_0;2|0;0.7813;3.1250;2.5000;LFF;14.3396;LFF;BLA;Priority
450;h_5;4;6.2500;12.5000;10.0000;LFF;14.6900;LFF;BLA;Priority
450;h_4;5;3.1250;6.2500;5.0000;LFF;14.6797;LFF;BLA;Priority
450;h_3;6|7;0.7813;3.1250;4.0000;LFF;14.6732;LFF;BLA;Priority
450;h_2;3;1.5625;6.2500;6.0000;LFF;14.6769;LFF;BLA;Priority
450;h_1;1;0.7813;3.1250;2.0000;LFF;14.6730;LFF;BLA;Priority
450;h_0;2|0;0.7813;3.1250;2.5000;LFF;14.6730;LFF;BLA;Priority
460;h_5;4;6.2500;12.5000;10.0000;LFF;15.0238;LFF;BLA;Priority
460;h_4;5;3.1250;6.2500;5.0000;LFF;15.0132;LFF;BLA;Priority
460;h_3;6|7;0.7813;3.1250;4.0000;LFF;15.0066;LFF;BLA;Priority
460;h_2;3;1.5625;6.2500;6.0000;LFF;15.0104;LFF;BLA;Priority
460;h_1;1;0.7813;3.1250;2.0000;LFF;15.0064;LFF;BLA;Priority
460;h_0;2|0;0.7813;3.1250;2.5000;LFF;15.0065;LFF;BLA;Priority
470;h_5;4;6.2500;12.5000;10.0000;LFF;15.3576;LFF;BLA;Priority
470;h_4;5;3.1250;6.2500;5.0000;LFF;15.3468;LFF;BLA;Priority
