# units: time(s); hostId; energy(Wh)
1750;0;0.0697
1760;5;0.0000
1760;4;0.0000
1760;3;0.0697
1760;2;0.0000
1760;1;0.0000
1760;0;0.0697
1770;5;0.0000
1770;4;0.0000
1770;3;0.0697
1770;2;0.0000
1770;1;0.0000
1770;0;0.0697
1780;5;0.0000
1780;4;0.0000
1780;3;0.0697
1780;2;0.0000
1780;1;0.0000
1780;0;0.0697
1790;5;0.0000
1790;4;0.0000
1790;3;0.0697
1790;2;0.0000
1790;1;0.0000
1790;0;0.0697
1800;5;0.0000
1800;4;0.0000
1800;3;0.0697
1800;2;0.0000
1800;1;0.0000
1800;0;0.0697
1810;5;0.0000
1810;4;0.0000
1810;3;0.0697
1810;2;0.0000
1810;1;0.0000
1810;0;0.0697
1820;5;0.0000
1820;4;0.0000
1820;3;0.0697
1820;2;0.0000
1820;1;0.0000
1820;0;0.0697
1830;5;0.0000
1830;4;0.0000
1830;3;0.0697
1830;2;0.0000
1830;1;0.0000
1830;0;0.0697
1840;5;0.0000
1840;4;0.0000
1840;3;0.0697
1840;2;0.0000
1840;1;0.0000
1840;0;0.0697
1850;5;0.0000
1850;4;0.0000
1850;3;0.0697
1850;2;0.0000
1850;1;0.0000
1850;0;0.0697
1860;5;0.0000
1860;4;0.0000
1860;3;0.0697
1860;2;0.0000
1860;1;0.0000
1860;0;0.0697
1870;5;0.0000
1870;4;0.0000
1870;3;0.0697
1870;2;0.0000
1870;1;0.0000
1870;0;0.0697
1880;5;0.0000
1880;4;0.0000
1880;3;0.0697
1880;2;0.0000
1880;1;0.0000
1880;0;0.0697
1890;5;0.0000
1890;4;0.0000
1890;3;0.0697
1890;2;0.0000
1890;1;0.0000
1890;0;0.0697
1900;5;0.0000
1900;4;0.0000
1900;3;0.0697
1900;2;0.0000
1900;1;0.0000
1900;0;0.0697
1910;5;0.0000
1910;4;0.0000
1910;3;0.0697
1910;2;0.0000
1910;1;0.0000
1910;0;0.0697
1920;5;0.0000
1920;4;0.0000
1920;3;0.0697
1920;2;0.0000
1920;1;0.0000
1920;0;0.0697
1930;5;0.0000
1930;4;0.0000
1930;3;0.0697
1930;2;0.0000
1930;1;0.0000
1930;0;0.0697
1940;5;0.0000
1940;4;0.0000
1940;3;0.0697
1940;2;0.0000
1940;1;0.0000
1940;0;0.0697
1950;5;0.0000
1950;4;0.0000
1950;3;0.0697
1950;2;0.0000
1950;1;0.0000
1950;0;0.0697
1960;5;0.0000
1960;4;0.0000
1960;3;0.0697
1960;2;0.0000
1960;1;0.0000
1960;0;0.0697
1970;5;0.0000
1970;4;0.0000
1970;3;0.0697
1970;2;0.0000
1970;1;0.0000
1970;0;0.0697
1980;5;0.0000
1980;4;0.0000
1980;3;0.0697
1980;2;0.0000
1980;1;0.0000
1980;0;0.0697
1990;5;0.0000
1990;4;0.0000
1990;3;0.0697
1990;2;0.0000
1990;1;0.0000
1990;0;0.0697
2000;5;0.0000
2000;4;0.0000
2000;3;0.0697
2000;2;0.0000
2000;1;0.0000
2000;0;0.0697
2010;5;0.0000
2010;4;0.0000
2010;3;0.0697
2010;2;0.0000
2010;1;0.0000
2010;0;0.0697
2020;5;0.0000
2020;4;0.0000
2020;3;0.0697
2020;2;0.0000
2020;1;0.0000
2020;0;0.0697
2030;5;0.0000
2030;4;0.0000
2030;3;0.0697
2030;2;0.0000
2030;1;0.0000
2030;0;0.0697
2040;5;0.0000
2040;4;0.0000
2040;3;0.0697
2040;2;0.0000
2040;1;0.0000
2040;0;0.0697
2050;5;0.0000
2050;4;0.0000
2050;3;0.0697
2050;2;0.0000
2050;1;0.0000
2050;0;0.0697
2060;5;0.0000
2060;4;0.0000
2060;3;0.0697
2060;2;0.0000
2060;1;0.0000
2060;0;0.0697
2070;5;0.0000
2070;4;0.0000
2070;3;0.0697
2070;2;0.0000
2070;1;0.0000
2070;0;0.0697
2080;5;0.0000
2080;4;0.0000
2080;3;0.0697
2080;2;0.0000
2080;1;0.0000
2080;0;0.0697
2090;5;0.0000
2090;4;0.0000
2090;3;0.0697
2090;2;0.0000
2090;1;0.0000
2090;0;0.0697
2100;5;0.0000
2100;4;0.0000
2100;3;0.0697
2100;2;0.0000
2100;1;0.0000
2100;0;0.0697
2110;5;0.0000
2110;4;0.0000
2110;3;0.0697
2110;2;0.0000
2110;1;0.0000
2110;0;0.0697
2120;5;0.0000
2120;4;0.0000
2120;3;0.0697
2120;2;0.0000
2120;1;0.0000
2120;0;0.0697
2130;5;0.0000
2130;4;0.0000
2130;3;0.0697
2130;2;0.0000
2130;1;0.0000
2130;0;0.0697
2140;5;0.0000
2140;4;0.0000
2140;3;0.0697
2140;2;0.0000
2140;1;0.0000
2140;0;0.0697
2150;5;0.0000
2150;4;0.0000
2150;3;0.0697
2150;2;0.0000
2150;1;0.0000
2150;0;0.0697
2160;5;0.0000
2160;4;0.0000
2160;3;0.0697
2160;2;0.0000
2160;1;0.0000
2160;0;0.0697
2170;5;0.0000
2170;4;0.0000
2170;3;0.0697
2170;2;0.0000
2170;1;0.0000
2170;0;0.0697
2180;5;0.0000
2180;4;0.0000
2180;3;0.0697
2180;2;0.0000
2180;1;0.0000
