# units: time(s); hostId; vmIds
0,00;h_5;0
0,00;h_4;0
0,00;h_3;4
0,00;h_2;0
0,00;h_1;0
0,00;h_0;4
2260;4;
2260;3;3|5|0|7
2260;2;
2260;1;
2260;0;4|2|1|6
2270;5;
2270;4;
2270;3;3|5|0|7
2270;2;
2270;1;
2270;0;4|2|1|6
2280;5;
2280;4;
2280;3;3|5|0|7
2280;2;
2280;1;
2280;0;4|2|1|6
2290;5;
2290;4;
2290;3;3|5|0|7
2290;2;
2290;1;
2290;0;4|2|1|6
2300;5;
2300;4;
2300;3;3|5|0|7
2300;2;
2300;1;
2300;0;4|2|1|6
2310;5;
2310;4;
2310;3;3|5|0|7
2310;2;
2310;1;
2310;0;4|2|1|6
2320;5;
2320;4;
2320;3;3|5|0|7
2320;2;
2320;1;
2320;0;4|2|1|6
2330;5;
2330;4;
2330;3;3|5|0|7
2330;2;
2330;1;
2330;0;4|2|1|6
2340;5;
2340;4;
2340;3;3|5|0|7
2340;2;
2340;1;
2340;0;4|2|1|6
2350;5;
2350;4;
2350;3;3|5|0|7
2350;2;
2350;1;
2350;0;4|2|1|6
2360;5;
2360;4;
2360;3;3|5|0|7
2360;2;
2360;1;
2360;0;4|2|1|6
2370;5;
2370;4;
2370;3;3|5|0|7
2370;2;
2370;1;
2370;0;4|2|1|6
2380;5;
2380;4;
2380;3;3|5|0|7
2380;2;
2380;1;
2380;0;4|2|1|6
2390;5;
2390;4;
2390;3;3|5|0|7
2390;2;
2390;1;
2390;0;4|2|1|6
2400;5;
2400;4;
2400;3;3|5|0|7
2400;2;
2400;1;
2400;0;4|2|1|6
2410;5;
2410;4;
2410;3;3|5|0|7
2410;2;
2410;1;
2410;0;4|2|1|6
2420;5;
2420;4;
2420;3;3|5|0|7
2420;2;
2420;1;
2420;0;4|2|1|6
2430;5;
2430;4;
2430;3;3|5|0|7
2430;2;
2430;1;
2430;0;4|2|1|6
2440;5;
2440;4;
2440;3;3|5|0|7
2440;2;
2440;1;
2440;0;4|2|1|6
2450;5;
2450;4;
2450;3;3|5|0|7
2450;2;
2450;1;
2450;0;4|2|1|6
2460;5;
2460;4;
2460;3;3|5|0|7
2460;2;
2460;1;
2460;0;4|2|1|6
2470;5;
2470;4;
2470;3;3|5|0|7
2470;2;
2470;1;
2470;0;4|2|1|6
2480;5;
2480;4;
2480;3;3|5|0|7
2480;2;
2480;1;
2480;0;4|2|1|6
2490;5;
2490;4;
2490;3;3|5|0|7
2490;2;
2490;1;
2490;0;4|2|1|6
2500;5;
2500;4;
2500;3;3|5|0|7
2500;2;
2500;1;
2500;0;4|2|1|6
2510;5;
2510;4;
2510;3;3|5|0|7
2510;2;
2510;1;
2510;0;4|2|1|6
2520;5;
2520;4;
2520;3;3|5|0|7
2520;2;
2520;1;
2520;0;4|2|1|6
2530;5;
2530;4;
2530;3;3|5|0|7
2530;2;
2530;1;
2530;0;4|2|1|6
2540;5;
2540;4;
2540;3;3|5|0|7
2540;2;
2540;1;
2540;0;4|2|1|6
2550;5;
2550;4;
2550;3;3|5|0|7
2550;2;
2550;1;
2550;0;4|2|1|6
2560;5;
2560;4;
2560;3;3|5|0|7
2560;2;
2560;1;
2560;0;4|2|1|6
2570;5;
2570;4;
2570;3;3|5|0|7
2570;2;
2570;1;
2570;0;4|2|1|6
2580;5;
2580;4;
2580;3;3|5|0|7
2580;2;
2580;1;
2580;0;4|2|1|6
2590;5;
2590;4;
2590;3;3|5|0|7
2590;2;
2590;1;
2590;0;4|2|1|6
2600;5;
2600;4;
2600;3;3|5|0|7
2600;2;
2600;1;
2600;0;4|2|1|6
2610;5;
2610;4;
2610;3;3|5|0|7
2610;2;
2610;1;
2610;0;4|2|1|6
2620;5;
2620;4;
2620;3;3|5|0|7
2620;2;
2620;1;
2620;0;4|2|1|6
2630;5;
2630;4;
2630;3;3|5|0|7
2630;2;
2630;1;
2630;0;4|2|1|6
2640;5;
2640;4;
2640;3;3|5|0|7
2640;2;
2640;1;
2640;0;4|2|1|6
2650;5;
2650;4;
