time;node_id;cpu_w;ram_w;bw_w;total_w;vm_policy;link_policy;wf_policy
230.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
230.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
230.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
230.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
230.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
230.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
230.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
230.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
240.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
240.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
240.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
240.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
240.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
240.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
240.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
240.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
240.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
240.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
240.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
240.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
250.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
250.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
250.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
250.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
250.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
250.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
250.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
250.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
250.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
250.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
250.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
250.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
260.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
260.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
260.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
260.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
260.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
260.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
260.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
260.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
260.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
260.08;2;1.56;6.25;6.0;0.3335;LFF;BLA;Priority
260.08;1;0.78;3.13;2.0;0.3334;LFF;BLA;Priority
260.08;0;0.78;3.13;2.5;0.3334;LFF;BLA;Priority
270.0;5;6.25;12.5;0.0;0.0699;LFF;BLA;Priority
270.0;4;3.13;6.25;0.0;0.0697;LFF;BLA;Priority
270.0;3;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
270.0;2;1.56;6.25;0.0;0.0696;LFF;BLA;Priority
270.0;1;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
270.0;0;0.78;3.13;0.0;0.0695;LFF;BLA;Priority
270.08;5;6.25;12.5;10.0;0.3338;LFF;BLA;Priority
270.08;4;3.13;6.25;5.0;0.3336;LFF;BLA;Priority
270.08;3;0.78;3.13;4.0;0.3334;LFF;BLA;Priority
