time;flowId;violationType;vm_policy;link_policy;wf_policy
120;79;SLA_VIOLATION;LFF;BLA;Priority
130;25;SLA_VIOLATION;LFF;BLA;Priority
130;25;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;41;SLA_VIOLATION;LFF;BLA;Priority
130;98;SLA_VIOLATION;LFF;BLA;Priority
