time;host_id;cpu_util;ram_util;bw_util;energy;vm_policy;link_policy;wf_policy
670;1;0.7813;3.125;2.0;22.0081;LFF;BLA;Priority
670;0;0.7813;3.125;2.5;22.0082;LFF;BLA;Priority
680;5;6.25;12.5;10.0;22.3674;LFF;BLA;Priority
680;4;3.125;6.25;5.0;22.3517;LFF;BLA;Priority
680;3;0.7813;3.125;4.0;22.3419;LFF;BLA;Priority
680;2;1.5625;6.25;6.0;22.3474;LFF;BLA;Priority
680;1;0.7813;3.125;2.0;22.3415;LFF;BLA;Priority
680;0;0.7813;3.125;2.5;22.3416;LFF;BLA;Priority
690;5;6.25;12.5;10.0;22.7012;LFF;BLA;Priority
690;4;3.125;6.25;5.0;22.6853;LFF;BLA;Priority
