# units: time(s); switchId; energy(watt)
1370;10;25.2037
1370;9;25.2037
1370;8;25.2037
1370;7;25.2037
1370;6;25.2037
1380;12;25.3890
1380;11;25.3890
1380;10;25.3890
1380;9;25.3890
1380;8;25.3890
1380;7;25.3890
1380;6;25.3890
1390;12;25.5743
1390;11;25.5743
1390;10;25.5743
1390;9;25.5743
1390;8;25.5743
1390;7;25.5743
1390;6;25.5743
1400;12;25.7596
1400;11;25.7596
1400;10;25.7596
1400;9;25.7596
1400;8;25.7596
1400;7;25.7596
1400;6;25.7596
1410;12;25.9448
1410;11;25.9448
1410;10;25.9448
1410;9;25.9448
1410;8;25.9448
1410;7;25.9448
1410;6;25.9448
1420;12;26.1301
1420;11;26.1301
1420;10;26.1301
1420;9;26.1301
1420;8;26.1301
1420;7;26.1301
1420;6;26.1301
1430;12;26.3154
1430;11;26.3154
1430;10;26.3154
1430;9;26.3154
1430;8;26.3154
1430;7;26.3154
1430;6;26.3154
1440;12;26.5007
1440;11;26.5007
1440;10;26.5007
1440;9;26.5007
1440;8;26.5007
1440;7;26.5007
1440;6;26.5007
1450;12;26.6859
1450;11;26.6859
1450;10;26.6859
1450;9;26.6859
1450;8;26.6859
1450;7;26.6859
1450;6;26.6859
1460;12;26.8712
1460;11;26.8712
1460;10;26.8712
1460;9;26.8712
1460;8;26.8712
1460;7;26.8712
1460;6;26.8712
1470;12;27.0565
1470;11;27.0565
1470;10;27.0565
1470;9;27.0565
1470;8;27.0565
1470;7;27.0565
1470;6;27.0565
1480;12;27.2418
1480;11;27.2418
1480;10;27.2418
1480;9;27.2418
1480;8;27.2418
1480;7;27.2418
1480;6;27.2418
1490;12;27.4271
1490;11;27.4271
1490;10;27.4271
1490;9;27.4271
1490;8;27.4271
1490;7;27.4271
1490;6;27.4271
1500;12;27.6123
1500;11;27.6123
1500;10;27.6123
1500;9;27.6123
1500;8;27.6123
1500;7;27.6123
1500;6;27.6123
1510;12;27.7976
1510;11;27.7976
1510;10;27.7976
1510;9;27.7976
1510;8;27.7976
1510;7;27.7976
1510;6;27.7976
1520;12;27.9829
1520;11;27.9829
1520;10;27.9829
1520;9;27.9829
1520;8;27.9829
1520;7;27.9829
1520;6;27.9829
1530;12;28.1682
1530;11;28.1682
1530;10;28.1682
1530;9;28.1682
1530;8;28.1682
1530;7;28.1682
1530;6;28.1682
1540;12;28.3534
1540;11;28.3534
1540;10;28.3534
1540;9;28.3534
1540;8;28.3534
1540;7;28.3534
