vm_policy;link_policy;wf_policy;# units: time(s); switchId; energy(watt)
LWFF;BLA;PSO;130;5;2.4086
LWFF;BLA;PSO;130;4;2.4086
LWFF;BLA;PSO;140;7;2.4086
LWFF;BLA;PSO;140;6;2.4086
LWFF;BLA;PSO;140;5;2.4086
LWFF;BLA;PSO;140;4;2.4086
LWFF;BLA;SJF;10;7;0.1853
LWFF;BLA;SJF;10;6;0.1853
LWFF;BLA;SJF;10;5;0.1853
LWFF;BLA;SJF;10;4;0.1853
LWFF;BLA;SJF;20;7;0.3706
LWFF;BLA;SJF;20;6;0.3706
LWFF;BLA;SJF;20;5;0.3706
LWFF;BLA;SJF;20;4;0.3706
LWFF;BLA;SJF;30;7;0.5558
LWFF;BLA;SJF;30;6;0.5558
LWFF;BLA;SJF;30;5;0.5558
LWFF;BLA;SJF;30;4;0.5558
LWFF;BLA;SJF;40;7;0.7411
LWFF;BLA;SJF;40;6;0.7411
LWFF;BLA;SJF;40;5;0.7411
LWFF;BLA;SJF;40;4;0.7411
LWFF;BLA;SJF;50;7;0.9264
LWFF;BLA;SJF;50;6;0.9264
LWFF;BLA;SJF;50;5;0.9264
LWFF;BLA;SJF;50;4;0.9264
LWFF;BLA;SJF;60;7;1.1117
LWFF;BLA;SJF;60;6;1.1117
LWFF;BLA;SJF;60;5;1.1117
LWFF;BLA;SJF;60;4;1.1117
LWFF;BLA;SJF;70;7;1.2969
LWFF;BLA;SJF;70;6;1.2969
LWFF;BLA;SJF;70;5;1.2969
LWFF;BLA;SJF;70;4;1.2969
LWFF;BLA;SJF;80;7;1.4822
LWFF;BLA;SJF;80;6;1.4822
LWFF;BLA;SJF;80;5;1.4822
LWFF;BLA;SJF;80;4;1.4822
LWFF;BLA;SJF;90;7;1.6675
LWFF;BLA;SJF;90;6;1.6675
LWFF;BLA;SJF;90;5;1.6675
LWFF;BLA;SJF;90;4;1.6675
LWFF;BLA;SJF;100;7;1.8528
LWFF;BLA;SJF;100;6;1.8528
LWFF;BLA;SJF;100;5;1.8528
LWFF;BLA;SJF;100;4;1.8528
LWFF;BLA;SJF;110;7;2.0381
LWFF;BLA;SJF;110;6;2.0381
LWFF;BLA;SJF;110;5;2.0381
LWFF;BLA;SJF;110;4;2.0381
LWFF;BLA;SJF;120;7;2.2233
LWFF;BLA;SJF;120;6;2.2233
LWFF;BLA;SJF;120;5;2.2233
LWFF;BLA;SJF;120;4;2.2233
LWFF;BLA;SJF;130;7;2.4086
LWFF;BLA;SJF;130;6;2.4086
LWFF;BLA;SJF;130;5;2.4086
LWFF;BLA;SJF;130;4;2.4086
LWFF;BLA;SJF;140;7;2.5939
LWFF;BLA;SJF;140;6;2.5939
LWFF;BLA;SJF;140;5;2.5939
LWFF;BLA;SJF;140;4;2.5939
LWFF;BLA;SJF;150;7;2.5939
LWFF;BLA;SJF;150;6;2.5939
LWFF;BLA;SJF;150;5;2.5939
LWFF;BLA;SJF;150;4;2.5939
LWFF;BLA;SJF;160;7;2.5939
LWFF;BLA;SJF;160;6;2.5939
LWFF;BLA;SJF;160;5;2.5939
LWFF;BLA;SJF;160;4;2.5939
LWFF;First;Priority;10;7;0.1853
LWFF;First;Priority;10;6;0.1853
LWFF;First;Priority;10;5;0.1853
LWFF;First;Priority;10;4;0.1853
LWFF;First;Priority;20;7;0.3706
LWFF;First;Priority;20;6;0.3706
LWFF;First;Priority;20;5;0.3706
