# units: time(s); hostId; vmIds
0,00;h_11;0
0,00;h_10;0
0,00;h_9;7
0,00;h_8;0
0,00;h_7;0
0,00;h_6;4
0,00;h_5;0
0,00;h_4;0
0,00;h_3;4
0,00;h_2;0
0,00;h_1;0
0,00;h_0;5
1150;3;14|5|13|16
1150;2;
1150;1;
1150;0;9|11|0|18|17
1160;11;
1160;10;
1160;9;8|1|15|19|6|2|3
1160;8;
1160;7;
1160;6;7|10|12|4
1160;5;
1160;4;
1160;3;14|5|13|16
1160;2;
1160;1;
1160;0;9|11|0|18|17
1170;11;
1170;10;
1170;9;8|1|15|19|6|2|3
1170;8;
1170;7;
1170;6;7|10|12|4
1170;5;
1170;4;
1170;3;14|5|13|16
1170;2;
1170;1;
1170;0;9|11|0|18|17
1180;11;
1180;10;
1180;9;8|1|15|19|6|2|3
1180;8;
1180;7;
1180;6;7|10|12|4
1180;5;
1180;4;
1180;3;14|5|13|16
1180;2;
1180;1;
1180;0;9|11|0|18|17
1190;11;
1190;10;
1190;9;8|1|15|19|6|2|3
1190;8;
1190;7;
1190;6;7|10|12|4
1190;5;
1190;4;
1190;3;14|5|13|16
1190;2;
1190;1;
1190;0;9|11|0|18|17
1200;11;
1200;10;
1200;9;8|1|15|19|6|2|3
1200;8;
1200;7;
1200;6;7|10|12|4
1200;5;
1200;4;
1200;3;14|5|13|16
1200;2;
1200;1;
1200;0;9|11|0|18|17
1210;11;
1210;10;
1210;9;8|1|15|19|6|2|3
1210;8;
1210;7;
1210;6;7|10|12|4
1210;5;
1210;4;
1210;3;14|5|13|16
1210;2;
1210;1;
1210;0;9|11|0|18|17
1220;11;
1220;10;
1220;9;8|1|15|19|6|2|3
1220;8;
1220;7;
1220;6;7|10|12|4
1220;5;
1220;4;
1220;3;14|5|13|16
1220;2;
1220;1;
1220;0;9|11|0|18|17
1230;11;
1230;10;
1230;9;8|1|15|19|6|2|3
1230;8;
1230;7;
1230;6;7|10|12|4
1230;5;
1230;4;
1230;3;14|5|13|16
1230;2;
1230;1;
1230;0;9|11|0|18|17
1240;11;
1240;10;
1240;9;8|1|15|19|6|2|3
1240;8;
1240;7;
1240;6;7|10|12|4
1240;5;
1240;4;
1240;3;14|5|13|16
1240;2;
1240;1;
1240;0;9|11|0|18|17
1250;11;
1250;10;
1250;9;8|1|15|19|6|2|3
1250;8;
1250;7;
1250;6;7|10|12|4
1250;5;
1250;4;
1250;3;14|5|13|16
1250;2;
1250;1;
1250;0;9|11|0|18|17
1260;11;
1260;10;
1260;9;8|1|15|19|6|2|3
1260;8;
1260;7;
1260;6;7|10|12|4
1260;5;
1260;4;
1260;3;14|5|13|16
1260;2;
1260;1;
1260;0;9|11|0|18|17
1270;11;
1270;10;
1270;9;8|1|15|19|6|2|3
1270;8;
1270;7;
1270;6;7|10|12|4
1270;5;
1270;4;
1270;3;14|5|13|16
1270;2;
1270;1;
1270;0;9|11|0|18|17
1280;11;
1280;10;
1280;9;8|1|15|19|6|2|3
1280;8;
1280;7;
1280;6;7|10|12|4
1280;5;
1280;4;
1280;3;14|5|13|16
1280;2;
1280;1;
1280;0;9|11|0|18|17
1290;11;
1290;10;
1290;9;8|1|15|19|6|2|3
1290;8;
1290;7;
1290;6;7|10|12|4
1290;5;
1290;4;
1290;3;14|5|13|16
1290;2;
1290;1;
1290;0;9|11|0|18|17
1300;11;
1300;10;
1300;9;8|1|15|19|6|2|3
1300;8;
1300;7;
1300;6;7|10|12|4
1300;5;
1300;4;
1300;3;14|5|13|16
1300;2;
1300;1;
1300;0;9|11|0|18|17
1310;11;
1310;10;
1310;9;8|1|15|19|6|2|3
1310;8;
1310;7;
1310;6;7|10|12|4
1310;5;
1310;4;
1310;3;14|5|13|16
1310;2;
1310;1;
1310;0;9|11|0|18|17
1320;11;
1320;10;
1320;9;8|1|15|19|6|2|3
1320;8;
1320;7;
1320;6;7|10|12|4
1320;5;
1320;4;
1320;3;14|5|13|16
1320;2;
1320;1;
1320;0;9|11|0|18|17
1330;11;
1330;10;
1330;9;8|1|15|19|6|2|3
1330;8;
1330;7;
1330;6;7|10|12|4
1330;5;
1330;4;
1330;3;14|5|13|16
1330;2;
1330;1;
1330;0;9|11|0|18|17
1340;11;
1340;10;
1340;9;8|1|15|19|6|2|3
1340;8;
1340;7;
1340;6;7|10|12|4
1340;5;
1340;4;
1340;3;14|5|13|16
1340;2;
1340;1;
1340;0;9|11|0|18|17
1350;11;
1350;10;
1350;9;8|1|15|19|6|2|3
