# units: time(s); hostId; energy(Wh)
880;4;0.0695
880;3;0.0696
880;2;0.0696
880;1;0.0697
880;0;0.0696
890;11;0.0696
890;10;0.0696
890;9;0.0696
890;8;0.0699
890;7;0.0696
890;6;0.0696
890;5;0.0699
890;4;0.0695
890;3;0.0696
890;2;0.0696
890;1;0.0697
890;0;0.0696
900;11;0.0696
900;10;0.0696
900;9;0.0696
900;8;0.0699
900;7;0.0696
900;6;0.0696
900;5;0.0699
900;4;0.0695
900;3;0.0696
900;2;0.0696
900;1;0.0697
900;0;0.0696
910;11;0.0696
910;10;0.0696
910;9;0.0696
910;8;0.0699
910;7;0.0696
910;6;0.0696
910;5;0.0699
910;4;0.0695
910;3;0.0696
910;2;0.0696
910;1;0.0697
910;0;0.0696
920;11;0.0696
920;10;0.0696
920;9;0.0696
920;8;0.0699
920;7;0.0696
920;6;0.0696
920;5;0.0699
920;4;0.0695
920;3;0.0696
920;2;0.0696
920;1;0.0697
920;0;0.0696
930;11;0.0696
930;10;0.0696
930;9;0.0696
930;8;0.0699
930;7;0.0696
930;6;0.0696
930;5;0.0699
930;4;0.0695
930;3;0.0696
930;2;0.0696
930;1;0.0697
930;0;0.0696
940;11;0.0696
940;10;0.0696
940;9;0.0696
940;8;0.0699
940;7;0.0696
940;6;0.0696
940;5;0.0699
940;4;0.0695
940;3;0.0696
940;2;0.0696
940;1;0.0697
940;0;0.0696
950;11;0.0696
950;10;0.0696
950;9;0.0696
950;8;0.0699
950;7;0.0696
950;6;0.0696
950;5;0.0699
950;4;0.0695
950;3;0.0696
950;2;0.0696
950;1;0.0697
950;0;0.0696
960;11;0.0696
960;10;0.0696
960;9;0.0696
960;8;0.0699
960;7;0.0696
960;6;0.0696
960;5;0.0699
960;4;0.0695
960;3;0.0696
960;2;0.0696
960;1;0.0697
960;0;0.0696
970;11;0.0696
970;10;0.0696
970;9;0.0696
970;8;0.0699
970;7;0.0696
970;6;0.0696
970;5;0.0699
970;4;0.0695
970;3;0.0696
970;2;0.0696
970;1;0.0697
970;0;0.0696
980;11;0.0696
980;10;0.0696
980;9;0.0696
980;8;0.0699
980;7;0.0696
980;6;0.0696
980;5;0.0699
980;4;0.0695
980;3;0.0696
980;2;0.0696
980;1;0.0697
980;0;0.0696
990;11;0.0696
990;10;0.0696
990;9;0.0696
990;8;0.0699
990;7;0.0696
990;6;0.0696
990;5;0.0699
990;4;0.0695
990;3;0.0696
990;2;0.0696
990;1;0.0697
990;0;0.0696
1000;11;0.0696
1000;10;0.0696
1000;9;0.0696
1000;8;0.0699
1000;7;0.0696
1000;6;0.0696
1000;5;0.0699
1000;4;0.0695
1000;3;0.0696
1000;2;0.0696
1000;1;0.0697
1000;0;0.0696
1010;11;0.0696
1010;10;0.0696
1010;9;0.0696
1010;8;0.0699
1010;7;0.0696
1010;6;0.0696
1010;5;0.0699
1010;4;0.0695
1010;3;0.0696
1010;2;0.0696
1010;1;0.0697
1010;0;0.0696
1020;11;0.0696
1020;10;0.0696
1020;9;0.0696
1020;8;0.0699
1020;7;0.0696
1020;6;0.0696
1020;5;0.0699
1020;4;0.0695
1020;3;0.0696
1020;2;0.0696
1020;1;0.0697
1020;0;0.0696
1030;11;0.0696
1030;10;0.0696
1030;9;0.0696
1030;8;0.0699
1030;7;0.0696
1030;6;0.0696
1030;5;0.0699
1030;4;0.0695
1030;3;0.0696
1030;2;0.0696
1030;1;0.0697
1030;0;0.0696
1040;11;0.0696
1040;10;0.0696
1040;9;0.0696
1040;8;0.0699
1040;7;0.0696
1040;6;0.0696
1040;5;0.0699
1040;4;0.0695
1040;3;0.0696
1040;2;0.0696
1040;1;0.0697
1040;0;0.0696
1050;11;0.0696
1050;10;0.0696
1050;9;0.0696
1050;8;0.0699
1050;7;0.0696
1050;6;0.0696
1050;5;0.0699
1050;4;0.0695
1050;3;0.0696
1050;2;0.0696
1050;1;0.0697
1050;0;0.0696
1060;11;0.0696
1060;10;0.0696
1060;9;0.0696
1060;8;0.0699
1060;7;0.0696
1060;6;0.0696
1060;5;0.0699
1060;4;0.0695
1060;3;0.0696
1060;2;0.0696
1060;1;0.0697
1060;0;0.0696
1070;11;0.0696
1070;10;0.0696
1070;9;0.0696
1070;8;0.0699
1070;7;0.0696
1070;6;0.0696
1070;5;0.0699
1070;4;0.0695
1070;3;0.0696
1070;2;0.0696
1070;1;0.0697
1070;0;0.0696
1080;11;0.0696
1080;10;0.0696
1080;9;0.0696
1080;8;0.0699
1080;7;0.0696
1080;6;0.0696
1080;5;0.0699
1080;4;0.0695
1080;3;0.0696
1080;2;0.0696
1080;1;0.0697
1080;0;0.0696
1090;11;0.0696
1090;10;0.0696
1090;9;0.0696
1090;8;0.0699
1090;7;0.0696
1090;6;0.0696
